smallRNA	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B
chr6:125979875:125979934:-:5S	13.012802201570473	11.753234934743537	14.27236946839741	2.898028802837961	23.697107799612933	6.97947042214e-9	1.421020177947704e-5	6.720811700350995
chr7:98881649:98881729:+:hsa-mir-3609	1.910888978531779	1.3206397828361818	2.5011381742273766	6.341091449375912	7.425845910115384	6.320786443357909e-5	0.04027918836907619	2.290364464552674
chr3:160514906:160515236:-:U90	2.144207113408158	1.427136489317696	2.8612777374986202	5.701964454350316	6.8588401699401125	1.1207981891604967e-4	0.04027918836907619	1.7369629608781807
chr6:28673876:28673907:-:piR-36225:DQ598159	1.8284478646384477	1.1757196542032435	2.481176075073652	5.7263169424012625	6.425339507094941	1.7787843098955125e-4	0.04027918836907619	1.2819251215102003
chr6:28658277:28658308:-:piR-36225:DQ598159	1.8465075138240525	1.1837860833658316	2.5092289442822735	5.78431547650359	6.390957745575126	1.8468904957677883e-4	0.04027918836907619	1.243019221940286
chr1:148032789:148032861:+:tRNA-Gln-CTG-3-2	6.748864807895236	4.325828275442772	9.1719013403477	1.0422250296441216	6.388761092183203	1.8513382987247988e-4	0.04027918836907619	0.8196201026158993
chr2:156400768:156400840:+:tRNA-Ala-CGC-3-1	1.7659543097954948	1.1311576323516346	2.400750987239355	5.901512729692124	6.3810287237386705	1.8670888585743973e-4	0.04027918836907619	1.2319272708375282
chr6:26553502:26553533:+:piR-36225:DQ598159	1.8127162136911164	1.1545385568585824	2.4708938705236503	5.772820149238643	6.3173154800990625	2.0026268905536102e-4	0.04027918836907619	1.1621621060996272
chr6:28643444:28643475:+:piR-36225:DQ598159	1.8156102821111473	1.1516745669885409	2.4795459972337537	5.726429231695425	6.272526197473102	2.1043758182590186e-4	0.04027918836907619	1.1141363929909094
chr7:137513852:137513880:+:piR-52411:DQ585299	-7.719229524270027	-10.543791874002546	-4.894667174537508	-1.2504190131159711	-6.268572746577558	2.1136263581374384e-4	0.04027918836907619	0.5906200027781674
chr6:27728547:27728620:-:tRNA-Val-CAC-7-1	1.743771624764796	1.102076432910374	2.385466816619218	4.734130909854366	6.233137434907924	2.1985651253312203e-4	0.04027918836907619	1.0973849126992024
chr5:134928038:134928112:+:hsa-mir-4461	4.175844942884595	2.596568197664028	5.755121688105162	2.979141859219386	6.065016758640198	2.6560839890945876e-4	0.04027918836907619	0.8612888305779336
chr17:8226609:8226691:-:tRNA-Ser-AGA-2-6	1.6856471197522351	1.0418921724882746	2.3294020670161957	5.214278371349532	6.006091784789354	2.840419029607789e-4	0.04027918836907619	0.8472404834203884
chr6:27553412:27553494:-:tRNA-Ser-AGA-4-1	1.7192842117520497	1.0526598158006408	2.385908607703459	5.176158408428619	5.915784613299231	3.1507610337607627e-4	0.04027918836907619	0.7468785749543105
chr6:27532207:27532289:+:tRNA-Ser-AGA-3-1	1.6994750516751607	1.0380259063612263	2.360924196989095	5.195965071348361	5.893376886245038	3.233403186377915e-4	0.04027918836907619	0.7208543802603433
chr6:26312595:26312677:-:tRNA-Ser-TGA-3-1	1.6923171903337497	1.030861421651066	2.3537729590164336	5.210046355804925	5.868496355032466	3.327960493590774e-4	0.04027918836907619	0.6921153529370381
chr8:95269656:95269738:-:tRNA-Ser-AGA-2-5	1.677777330240814	1.020989138688897	2.3345655217927312	5.208082313258256	5.859423217869101	3.3631935278698194e-4	0.04027918836907619	0.6816378659425268
